sample_id	machine	archive_category	parameter_cell	validation_stratum	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
134	office	both	m2_s3	snr_boundary	0.006679845990401786	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	2377	2.163526625628553e+02	5.817245416158514e+02	2.025831817098393e+02	6.450371538127647e+03	9.868330811538280e-01	6.866707062530339e+00
135	qiushi	both	m2_s3	snr_boundary	9.107534439031219e-09	typeI_mH125-220/random_20260822_062750.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	1840	1.259770000000000e+02	3.692320000000000e+02	3.548500000000000e+02	1.633280000000000e+03	9.791190000000000e-01	7.237210000000000e+00
136	qiushi	both	m2_s3	snr_boundary	1.491211628835907e-13	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	4601	1.271410000000000e+02	3.277520000000000e+02	3.270810000000000e+02	1.446220000000000e+03	9.847180000000000e-01	7.332140000000000e+00
137	qiushi	both	m2_s3	snr_boundary	1.921195847790806e-13	typeI_mH125-220/random_20260825_011947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	6205	1.273250000000000e+02	3.443850000000000e+02	3.358920000000000e+02	1.383140000000000e+03	9.794300000000000e-01	8.244960000000001e+00
138	yuanyuan	both	m2_s3	snr_boundary	9.518273381118569e-08	typeI_mH125-220/async_mcmc_20260903_011320.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	8589	1.258986244387231e+02	3.628046799950069e+02	3.615785709959024e+02	1.864744858215711e+03	9.848772550138600e-01	6.038629720797842e+00
139	yuanyuan	both	m2_s3	snr_boundary	1.422647899322418e-10	typeI_mH125-220/async_mcmc_20260903_011320.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	8893	1.252257384114643e+02	3.292366513432848e+02	3.243030343985287e+02	1.924025185487349e+03	9.815318419405700e-01	5.958769631813225e+00
140	yuanyuan	both	m2_s3	snr_boundary	0.0003596200928944843	typeI_mH125-220/async_mcmc_20260903_011320.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	8988	1.275686430198090e+02	4.201881131099664e+02	4.277870353434545e+02	1.661710401567879e+03	9.859105392948132e-01	8.331408076485991e+00
141	office	both	m2_s4	snr_boundary	2.093497014480756e-07	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	3210	1.730658055122161e+02	4.480597527064688e+02	4.406653747804544e+02	3.166654282712948e+03	9.989946786986514e-01	8.187105015601665e+00
142	office	both	m2_s4	snr_boundary	0.000561083393674152	typeI_mH125-220/async_mcmc_20260903_115445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_12.csv	4860	1.889009331818612e+02	4.410989890270653e+02	4.514986322284915e+02	4.542384174552276e+03	9.968516942569280e-01	7.773036733312328e+00
143	office	both	m2_s4	snr_boundary	0.0003592617748138273	typeI_mH125-220/async_mcmc_20260903_212216.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_13.csv	10660	1.799474907936133e+02	4.526909115039502e+02	4.578864081657733e+02	3.187093704548071e+03	9.961011546044632e-01	9.548359193904725e+00
144	qiushi	both	m2_s4	snr_boundary	3.479983364639018e-20	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	5245	2.128110000000000e+02	4.030800000000000e+02	2.143320000000000e+02	7.552990000000000e+03	9.947549999999999e-01	5.686380000000000e+00
145	qiushi	both	m2_s4	snr_boundary	1.105854592514087e-16	typeI_mH125-220/random_20260824_004325.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	5563	2.171820000000000e+02	3.743630000000000e+02	3.603730000000000e+02	4.775830000000000e+03	9.959000000000000e-01	9.273730000000000e+00
146	qiushi	both	m2_s4	snr_boundary	1.003678065978806e-16	typeI_mH125-220/random_20260825_210947.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_qiushi/classified/both_1.csv	7235	2.109470000000000e+02	4.265670000000000e+02	2.009300000000000e+02	7.891100000000000e+03	9.961780000000000e-01	4.872040000000000e+00
147	yuanyuan	both	m2_s4	snr_boundary	4.320544488282441e-19	typeI_mH125-220/async_mcmc_20260903_210907.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_2.csv	10182	1.360437227022400e+02	3.011746762250863e+02	3.116439246328076e+02	1.519173664108886e+03	9.976905420780259e-01	1.050104486024376e+01
148	yuanyuan	both	m2_s4	snr_boundary	4.282152763957253e-20	typeI_mH125-220/random_20260822_062803.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	5951	2.094670000000000e+02	4.083070000000000e+02	2.153510000000000e+02	5.867630000000000e+03	9.906000000000000e-01	6.621160000000000e+00
149	yuanyuan	both	m2_s4	snr_boundary	0.0001174913403396394	typeI_mH125-220/random_20260822_062803.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_yuanyuan/classified/both_1.csv	6034	2.083270000000000e+02	4.541570000000000e+02	4.612270000000000e+02	6.182560000000000e+03	9.978790000000000e-01	6.743430000000000e+00
