yuktype	L1	L2	L3	L4	L5	m12sq	tbeta
1	3.214791210054835e+00	2.323841730767067e-01	8.373854347164926e-01	3.988350871007741e+00	-4.030329315720494e+00	1.189303235254391e+04	5.346448635954116e+00
1	3.330543964434996e-01	2.534475416005921e-01	6.016965204143909e+00	-2.928832302285452e+00	-2.622047426103961e+00	4.542384174552276e+03	7.773036733312328e+00
1	3.354862670917602e+00	2.464189891685605e-01	5.499583876576308e-01	9.868034696302680e-01	-1.158661811755611e+00	7.576145536250787e+03	4.512916619256540e+00
1	7.446325629432632e+00	2.409720063830992e-01	2.256897569049328e+00	-3.844406595721853e-01	8.756260986473281e-01	1.444118394204443e+04	1.262318793318832e+01
1	5.177478087494557e+00	2.466910683950310e-01	8.677763865111140e-01	8.980787200625461e-01	-7.307177538741755e-01	8.317496173582867e+03	9.139402620009747e+00
1	4.163805873257166e+00	2.527704678574488e-01	4.571179460070073e-01	6.375242919472123e-01	-7.127667134440879e-01	5.820810202440740e+03	6.696412353960524e+00
1	2.962840774009948e+00	2.555238375692891e-01	6.377890959419061e+00	-3.034330826463512e+00	-2.877978740249096e+00	3.187093704548071e+03	9.548359193904725e+00
1	5.892306182176148e+00	2.522102100300749e-01	1.087621203229128e+00	-3.529977799667612e-01	-3.314540156399713e-01	5.573840000000000e+03	6.698130000000000e+00
1	2.788441753579109e+00	2.572962953573793e-01	2.235111417436601e+00	-7.278961405064184e-01	-5.913812091824719e-01	2.465210000000000e+03	1.603330000000000e+01
1	2.395689425591510e+00	2.567805117827992e-01	3.733631899973612e+00	-1.793577238294237e+00	-1.628212388502447e+00	2.780890000000000e+03	7.881570000000000e+00
1	3.020705820205045e-01	2.531440892713532e-01	1.888677326137417e+00	-3.760344156539103e-01	-9.803801542684917e-01	4.541620000000000e+03	8.281010000000000e+00
1	6.886678635666348e+00	2.408561737774572e-01	1.086427463152268e+00	-1.305622109353286e+00	8.791966740758901e-01	1.409150000000000e+04	6.558410000000000e+00
1	5.363000268019827e+00	2.581599965129296e-01	1.552342911682593e+00	-4.801004328876117e-01	-8.313196528294450e-01	2.099270000000000e+03	7.577450000000000e+00
1	2.958126382964758e+00	2.501040968207721e-01	6.784507382779970e-01	2.791753015530582e+00	-2.819725266576629e+00	5.602170000000000e+03	7.198090000000000e+00
1	1.204962828106926e+00	2.461407061980334e-01	5.814717301557019e-01	1.898250132774248e+00	-1.953137274721291e+00	7.552990000000000e+03	5.686380000000000e+00
