sample_id	machine	category	branch	validation_stratum	edge_score	strict_snr	source	file	line	mH	mA	mHc	m12sq	sba	tb
133	office	both	light	physical_boundary	0.19908671054217944	3.819489448631017e-10	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_10.csv	1398	8.719267187026389e+01	2.888100544067120e+02	3.007552570392428e+02	3.877062462805914e+02	1.576486434033953e-01	5.860668380777163e+00
134	office	both	light	physical_boundary	0.1677222451806936	1.169922991847022e-23	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_10.csv	2251	1.183583684784172e+02	2.431643896040807e+02	2.532277243149223e+02	1.185502842805143e+03	1.289816212228317e-01	7.732898719213428e+00
135	office	both	light	physical_boundary	0.07537693690344345	1.862093965388972e-10	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_9.csv	3457	9.398045114018380e+01	2.816157150951616e+02	2.861383313093682e+02	1.006879457685671e+03	1.301869386917164e-01	6.047987090579792e+00
136	office	both	light	physical_boundary	0.7161965634527884	4.425474875477682e-25	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_9.csv	5015	1.115674666221375e+02	2.124815625153846e+02	1.695097687082173e+02	8.161046783897464e+02	1.111278083436788e-01	1.490002715644189e+01
137	office	both	light	physical_boundary	1.0	3.299482110697364e-25	typeI_mH62-125/random_20260901_123251.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_9.csv	5654	1.249483646178002e+02	2.301625471202860e+02	1.527759653795568e+02	1.475979520582327e+03	1.246579022904126e-01	1.057017883342730e+01
138	office	both	light	physical_boundary	0.4080310367292015	1.7805872170789e-20	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	6480	1.155960374744442e+02	2.749653054860094e+02	2.740916673409351e+02	1.178970203059184e+03	7.109941806132747e-02	8.498653124770586e+00
139	office	both	light	physical_boundary	0.3802774996871065	9.153794241889286e-25	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	6781	1.077049968693094e+02	2.130412359934982e+02	1.902245860122718e+02	1.017943735742100e+03	1.054779630397146e-01	5.927825045660233e+00
140	office	both	light	physical_boundary	0.5172698412698407	1.206147077007235e-09	random_20260820_005445.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_6.csv	6835	6.580150000000000e+01	2.959240000000000e+02	2.945310000000000e+02	2.422060000000000e+02	1.440250000000000e-01	6.255110000000000e+00
141	office	both	light	physical_boundary	0.2366939838664351	8.479673034396315e-32	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	10202	9.059814283212802e+01	2.056124394963653e+02	1.914108004643792e+02	6.159801359160294e+02	7.656893061945902e-02	7.912617453256711e+00
142	office	both	light	physical_boundary	1.0	2.987664349479098e-19	typeI_mH62-125/random_20260831_095833.md	/home/yancy/Software/Bin/MathRelated/MultiNest/data_office/classified/both_8.csv	10229	1.222751961287711e+02	3.267581396754530e+02	1.167188147641081e+02	2.197933519571689e+03	1.766090186472461e-01	6.829449824002052e+00
